psu_number,dist_name,hh_number,s03_code,q03_03
4004.0,Solukhumbu,4.0,112.0,4.0
4004.0,Solukhumbu,8.0,112.0,2.0
4004.0,Solukhumbu,10.0,112.0,2.0
4004.0,Solukhumbu,6.0,112.0,1.0
4004.0,Solukhumbu,3.0,112.0,2.0
4004.0,Solukhumbu,12.0,112.0,0.0
4005.0,Khotang,10.0,112.0,7.0
4005.0,Khotang,5.0,112.0,7.0
4005.0,Khotang,6.0,112.0,7.0
4005.0,Khotang,2.0,112.0,4.0
4005.0,Khotang,4.0,112.0,4.0
4005.0,Khotang,3.0,112.0,7.0
4005.0,Khotang,8.0,112.0,2.0
4005.0,Khotang,12.0,112.0,4.0
4005.0,Khotang,11.0,112.0,5.0
4005.0,Khotang,7.0,112.0,5.0
4005.0,Khotang,9.0,112.0,7.0
4005.0,Khotang,1.0,112.0,2.0
4006.0,Khotang,6.0,112.0,23.0
4006.0,Khotang,10.0,112.0,22.0
4006.0,Khotang,11.0,112.0,22.0
4006.0,Khotang,3.0,112.0,23.0
4006.0,Khotang,8.0,112.0,22.0
4006.0,Khotang,4.0,112.0,22.0
4006.0,Khotang,5.0,112.0,23.0
4006.0,Khotang,12.0,112.0,23.0
4006.0,Khotang,1.0,112.0,23.0
4006.0,Khotang,2.0,112.0,22.0
4006.0,Khotang,9.0,112.0,20.0
4006.0,Khotang,7.0,112.0,23.0
4007.0,Bhojpur,12.0,112.0,4.0
4007.0,Bhojpur,4.0,112.0,2.0
4007.0,Bhojpur,6.0,112.0,3.0
4007.0,Bhojpur,8.0,112.0,0.0
4007.0,Bhojpur,1.0,112.0,2.0
4007.0,Bhojpur,3.0,112.0,1.0
4007.0,Bhojpur,11.0,112.0,4.0
4007.0,Bhojpur,7.0,112.0,5.0
4007.0,Bhojpur,2.0,112.0,0.0
4007.0,Bhojpur,9.0,112.0,5.0
4007.0,Bhojpur,5.0,112.0,0.0
4007.0,Bhojpur,10.0,112.0,0.0
4008.0,Dhankuta,6.0,112.0,0.0
4008.0,Dhankuta,3.0,112.0,0.0
